columns Id,Top-Left,Bottom-Right,Top,Left,Bottom,Right,Top_box,Bottom_box,Left_box,Right_box
65,"[1602, 1798]","[1801, 1849]","[1701.5, 1798]","[1602, 1823.5]","[1701.5, 1849]","[1801, 1823.5]","[-1, 0]","[-1, 0]","[-1, 0]","[25.0, 66]"
66,"[1825, 1798]","[2047, 1863]","[1936.0, 1798]","[1825, 1830.5]","[1936.0, 1863]","[2047, 1830.5]","[-1, 0]","[-1, 0]","[25.0, 65]","[-1, 0]"
67,"[365, 1900]","[931, 1972]","[648.0, 1900]","[365, 1936.0]","[648.0, 1972]","[931, 1936.0]","[40.5, 61]","[-1, 0]","[-1, 0]","[41.0, 68]"
68,"[972, 1900]","[1385, 1972]","[1178.5, 1900]","[972, 1936.0]","[1178.5, 1972]","[1385, 1936.0]","[-1, 0]","[-1, 0]","[41.0, 67]","[-1, 0]"
69,"[1426, 1900]","[1757, 1972]","[1591.5, 1900]","[1426, 1936.0]","[1591.5, 1972]","[1757, 1936.0]","[-1, 0]","[-1, 0]","[-1, 0]","[29.04, 70]"
70,"[1728, 1897]","[2050, 1972]","[1889.0, 1897]","[1728, 1934.5]","[1889.0, 1972]","[2050, 1934.5]","[-1, 0]","[34.3, 74]","[29.04, 69]","[-1, 0]"
71,"[365, 2003]","[529, 2068]","[447.0, 2003]","[365, 2035.5]","[447.0, 2068]","[529, 2035.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
72,"[551, 2003]","[1095, 2075]","[823.0, 2003]","[551, 2039.0]","[823.0, 2075]","[1095, 2039.0]","[-1, 0]","[-1, 0]","[-1, 0]","[22.68, 73]"
73,"[1117, 1996]","[1673, 2071]","[1395.0, 1996]","[1117, 2033.5]","[1395.0, 2071]","[1673, 2033.5]","[-1, 0]","[-1, 0]","[22.68, 72]","[-1, 0]"
74,"[1682, 1996]","[2047, 2068]","[1864.5, 1996]","[1682, 2032.0]","[1864.5, 2068]","[2047, 2032.0]","[34.3, 70]","[-1, 0]","[-1, 0]","[-1, 0]"
75,"[365, 2099]","[786, 2184]","[575.5, 2099]","[365, 2141.5]","[575.5, 2184]","[786, 2141.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
76,"[798, 2099]","[1515, 2181]","[1156.5, 2099]","[798, 2140.0]","[1156.5, 2181]","[1515, 2140.0]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
77,"[566, 2266]","[636, 2314]","[601.0, 2266]","[566, 2290.0]","[601.0, 2314]","[636, 2290.0]","[48.0, 77]","[48.0, 77]","[-1, 0]","[39.85, 78]"
78,"[674, 2252]","[889, 2304]","[781.5, 2252]","[674, 2278.0]","[781.5, 2304]","[889, 2278.0]","[-1, 0]","[-1, 0]","[39.85, 77]","[-1, 0]"
79,"[926, 2249]","[1063, 2328]","[994.5, 2249]","[926, 2288.5]","[994.5, 2328]","[1063, 2288.5]","[-1, 0]","[27.66, 87]","[-1, 0]","[29.55, 80]"
80,"[1090, 2246]","[1252, 2307]","[1171.0, 2246]","[1090, 2276.5]","[1171.0, 2307]","[1252, 2276.5]","[-1, 0]","[-1, 0]","[29.55, 79]","[36.35, 81]"
81,"[1288, 2249]","[1450, 2314]","[1369.0, 2249]","[1288, 2281.5]","[1369.0, 2314]","[1450, 2281.5]","[-1, 0]","[-1, 0]","[36.35, 80]","[41.15, 82]"
82,"[1491, 2252]","[1718, 2304]","[1604.5, 2252]","[1491, 2278.0]","[1604.5, 2304]","[1718, 2278.0]","[-1, 0]","[-1, 0]","[41.15, 81]","[36.06, 83]"
83,"[1752, 2249]","[1842, 2331]","[1797.0, 2249]","[1752, 2290.0]","[1797.0, 2331]","[1842, 2290.0]","[-1, 0]","[-1, 0]","[36.06, 82]","[36.99, 84]"
84,"[1878, 2256]","[2052, 2307]","[1965.0, 2256]","[1878, 2281.5]","[1965.0, 2307]","[2052, 2281.5]","[-1, 0]","[-1, 0]","[36.99, 83]","[-1, 0]"
85,"[363, 2358]","[602, 2410]","[482.5, 2358]","[363, 2384.0]","[482.5, 2410]","[602, 2384.0]","[-1, 0]","[-1, 0]","[-1, 0]","[22.09, 86]"
86,"[624, 2358]","[931, 2406]","[777.5, 2358]","[624, 2382.0]","[777.5, 2406]","[931, 2382.0]","[48.0, 86]","[48.0, 86]","[22.09, 85]","[-1, 0]"
87,"[950, 2355]","[1027, 2410]","[988.5, 2355]","[950, 2382.5]","[988.5, 2410]","[1027, 2382.5]","[27.66, 79]","[-1, 0]","[-1, 0]","[22.0, 88]"
88,"[1049, 2362]","[1230, 2403]","[1139.5, 2362]","[1049, 2382.5]","[1139.5, 2403]","[1230, 2382.5]","[41.0, 88]","[41.0, 88]","[22.0, 87]","[28.79, 89]"
89,"[1257, 2362]","[1559, 2423]","[1408.0, 2362]","[1257, 2392.5]","[1408.0, 2423]","[1559, 2392.5]","[-1, 0]","[-1, 0]","[28.79, 88]","[-1, 0]"
90,"[1955, 2365]","[2021, 2410]","[1988.0, 2365]","[1955, 2387.5]","[1988.0, 2410]","[2021, 2387.5]","[45.0, 90]","[45.0, 90]","[-1, 0]","[-1, 0]"
91,"[358, 2509]","[464, 2574]","[411.0, 2509]","[358, 2541.5]","[411.0, 2574]","[464, 2541.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
92,"[566, 2519]","[691, 2570]","[628.5, 2519]","[566, 2544.5]","[628.5, 2570]","[691, 2544.5]","[-1, 0]","[-1, 0]","[-1, 0]","[15.07, 93]"
93,"[706, 2512]","[769, 2574]","[737.5, 2512]","[706, 2543.0]","[737.5, 2574]","[769, 2543.0]","[-1, 0]","[-1, 0]","[15.07, 92]","[17.5, 94]"
94,"[783, 2516]","[1090, 2591]","[936.5, 2516]","[783, 2553.5]","[936.5, 2591]","[1090, 2553.5]","[-1, 0]","[-1, 0]","[17.5, 93]","[-1, 0]"
95,"[1107, 2512]","[1192, 2584]","[1149.5, 2512]","[1107, 2548.0]","[1149.5, 2584]","[1192, 2548.0]","[-1, 0]","[-1, 0]","[-1, 0]","[16.07, 96]"
96,"[1208, 2505]","[1414, 2594]","[1311.0, 2505]","[1208, 2549.5]","[1311.0, 2594]","[1414, 2549.5]","[-1, 0]","[31.89, 102]","[16.07, 95]","[18.79, 97]"
97,"[1431, 2509]","[1542, 2574]","[1486.5, 2509]","[1431, 2541.5]","[1486.5, 2574]","[1542, 2541.5]","[-1, 0]","[-1, 0]","[18.79, 96]","[-1, 0]"
98,"[568, 2622]","[715, 2683]","[641.5, 2622]","[568, 2652.5]","[641.5, 2683]","[715, 2652.5]","[-1, 0]","[-1, 0]","[-1, 0]","[24.13, 99]"
99,"[735, 2628]","[875, 2704]","[805.0, 2628]","[735, 2666.0]","[805.0, 2704]","[875, 2666.0]","[-1, 0]","[-1, 0]","[24.13, 98]","[22.28, 100]"
100,"[897, 2625]","[1071, 2700]","[984.0, 2625]","[897, 2662.5]","[984.0, 2700]","[1071, 2662.5]","[-1, 0]","[-1, 0]","[22.28, 99]","[-1, 0]"
101,"[1097, 2628]","[1274, 2693]","[1185.5, 2628]","[1097, 2660.5]","[1185.5, 2693]","[1274, 2660.5]","[-1, 0]","[-1, 0]","[-1, 0]","[26.0, 102]"
102,"[1298, 2625]","[1339, 2676]","[1318.5, 2625]","[1298, 2650.5]","[1318.5, 2676]","[1339, 2650.5]","[31.89, 96]","[-1, 0]","[26.0, 101]","[19.1, 103]"
